Peak Frequency,Lower Frequency Bound,Upper Frequency Bound,Frequency Span,Peak Time,Event Onset Time,Event Offset Time,Event Duration,Peak Power,Normalized Peak Power,Filename,Channel_Number
8,5,10,5,2.902,2.772,3.032,0.26,5.5324968582318156e-14,6.360821641807476,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
12,10,14,4,1.696,1.466,1.832,0.366,1.0326131079049386e-13,10.091419517768822,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
9,7,10,3,0.148,0.0,0.444,0.596,7.173679310141093e-14,8.37323622775283,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
9,7,12,5,2.634,2.508,2.762,0.254,4.409025552669064e-14,5.146286987558473,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
9,7,21,14,2.89,2.678,3.106,0.428,3.450061409565656e-14,4.026968300870278,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
9,7,22,15,2.896,2.678,3.106,0.428,3.449632600005087e-14,4.0264677873134085,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
8,5,11,6,0.786,0.66,0.906,0.246,6.644514513545577e-14,7.639330450622674,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
11,9,14,5,0.162,0.058,0.262,0.204,5.773708462820019e-14,6.057001040718547,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
8,7,10,3,3.122,2.872,3.25,0.504,3.488619856404684e-14,4.010935613933683,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
8,6,9,3,0.808,0.576,1.038,0.462,8.242100767813583e-14,9.476107132326897,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
11,9,13,4,2.136,1.988,2.284,0.296,5.0588798378645356e-14,5.307098659402946,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
10,8,13,5,1.294,1.132,1.5,0.368,4.626046001393562e-14,5.313320608356865,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
11,9,13,4,1.32,1.174,1.422,0.248,4.577212309384751e-14,4.801797648783954,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
11,8,14,6,1.924,1.8,2.04,0.24,6.273608846246639e-14,6.581429518908757,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
12,10,15,5,3.03,2.928,3.148,0.22,4.3636004881770296e-14,4.264416439907235,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
8,6,10,4,2.522,2.384,2.758,0.374,3.618399052679474e-14,4.160145336320205,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
9,7,11,4,0.432,0.298,0.598,0.3,5.134122948337254e-14,5.992632568336701,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
12,10,14,4,0.24,0.082,0.332,0.25,4.28566642052426e-14,4.18825380306003,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
12,9,14,5,2.406,2.078,2.504,0.426,4.401678740015308e-14,4.30162917823698,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
10,8,12,4,0.382,0.218,0.532,0.314,5.959515215189193e-14,6.844898429272481,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
10,8,12,4,2.166,1.86,2.302,0.442,4.700927811093773e-14,5.399327332576929,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
11,9,14,5,2.108,1.9,2.282,0.382,4.47605735829431e-14,4.695679432394243,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
8,6,9,3,2.786,2.488,3.016,0.528,6.613612724897065e-14,7.60380204978616,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
9,7,11,4,0.54,0.382,0.726,0.344,6.366505976042605e-14,7.431090264579496,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
10,7,12,5,3.014,2.924,3.126,0.202,5.4628615219188537e-14,6.274458727013814,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
9,8,12,4,1.302,1.132,1.78,0.648,4.963913340795154e-14,5.793961120873423,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
10,8,12,4,1.602,1.242,1.75,0.508,6.978750418767936e-14,8.015557651058506,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
8,6,11,5,0.482,0.328,0.642,0.314,1.0337792105544281e-13,11.885565132425292,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
8,6,11,5,1.84,1.664,1.996,0.332,4.774225579946194e-14,5.489022076281523,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
9,7,11,4,3.108,2.97,3.248,0.278,3.623168468788322e-14,4.2290217014891125,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
10,8,15,7,1.284,1.168,1.44,0.272,3.911962579386455e-14,4.493148443814317,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
10,8,16,8,1.734,1.54,1.87,0.33,3.7743930754645456e-14,4.335140745652752,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
9,3,11,8,3.008,2.864,3.14,0.276,3.691687408990534e-14,4.308998133050158,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
11,9,13,4,1.99,1.876,2.194,0.318,4.06007152459402e-14,4.2592828522980986,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
12,10,14,4,0.746,0.428,0.9,0.472,6.723841403240076e-14,6.571009398544793,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
9,7,11,4,1.314,1.074,1.532,0.458,6.135805590511167e-14,7.16181298825107,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
9,6,12,6,2.978,2.872,3.082,0.21,5.671755867375652e-14,6.620166535259496,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
10,6,15,9,2.994,2.89,3.088,0.198,5.733053692546467e-14,6.58479235274514,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
9,7,11,4,1.43,1.102,1.598,0.496,4.7337018092927465e-14,5.525254442990924,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
10,8,13,5,2.41,2.274,2.514,0.24,5.018304562273953e-14,5.763855578113399,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
11,8,15,7,2.452,2.346,2.544,0.198,5.172564147214966e-14,5.426360999107678,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
8,5,10,5,0.174,0.032,0.312,0.28,8.606789537359593e-14,9.895397061864024,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
10,5,12,7,2.598,2.49,2.72,0.23,4.691988763678249e-14,5.389060243828206,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
