,filename,channel,label,freq_range,freq_res,max_peaks,aperiodic_mode,peak_width_limits,min_peak_height,peak_threshold,measure,offset,knee,exponent,error,r_squared
0,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-2.3844090445996033,-1.167840894339522,0.2768930703077399,0.016843233653883207,0.989376419546922
1,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-1.4503588831344265,-0.7546350495447749,0.6916053302121857,0.016890454227361663,0.9906982995383947
2,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-1.8293946234656466,-1.212606213206653,0.5409848141559839,0.013814310707993856,0.9952340926398714
3,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-1.8476729411946968,-1.1884661552721814,0.5338462735574929,0.01423874935004576,0.9949012758353776
4,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-2.041879473719988,-1.1735374994412733,0.6061575638906358,0.015562510294668848,0.9935459393076073
5,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-2.2987645766678106,-1.1984084078847472,0.459525706303957,0.018323250318897755,0.9905551910223537
6,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-6.268619469732172,-1.0000547994253863,9.884703167327386e-05,0.014049553933488083,0.9818381029134159
7,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-2.135810464208754,-1.0233174400288643,0.5978929235425124,0.016155733098161575,0.9921566375030909
8,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-1.4345505257386535,-1.0028025826716445,0.7763676550679725,0.01957363465486226,0.9918557842817474
9,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-1.531274023017042,-1.0559943583574225,0.7598524343885206,0.018806561912734013,0.9932786913699565
10,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-2.3792707572473106,-1.2169275884373196,0.3671294980320459,0.016853498913268195,0.9920598440368762
11,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-2.2651230417956136,-1.2312111230831455,0.3862094610044876,0.01793639716920458,0.9915755489676561
12,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-2.2149758961327235,-1.2898164705884942,0.5168782605533567,0.014973165488903352,0.9935821653241117
13,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-1.6384711483015553,-0.9224863761006824,0.7657084840829885,0.014187107314208074,0.9953639948592037
14,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-2.2846442391882644,-1.1545942004923386,0.48027319631667387,0.019052973912319474,0.9876458238381784
15,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-1.553021666662748,0.6579139701662816,0.8980077446537896,0.01470702903143262,0.9944678965697704
16,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-1.8042931391279897,-1.060037905140905,0.759485035737611,0.015541983404428989,0.9947960842004552
17,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-1.7252856645453871,-0.9974904567360235,0.7744907179974605,0.019519441397973927,0.9922552973237573
18,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-1.550644233683236,-0.8858277085638369,0.9222267808565028,0.02178682818099308,0.994117877832119
19,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-1.5730012830240714,-0.798498559666044,0.8757265480154726,0.018227633032206186,0.9946387790242565
20,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-1.5511075270881551,-0.9227024654809398,0.7677493813464918,0.016925712119142886,0.9932479796493041
21,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-1.3806356231678858,-0.4121400346229646,0.9228069639136074,0.019954093866735412,0.9926593139854313
22,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-6.7447352832510115,-1.000044835024184,7.730975472810391e-05,0.025294741820981615,0.9446016915837943
23,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-1.8298640853550818,-0.7843029445798801,0.6794298374538578,0.01404420193058598,0.99365297620924
24,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-2.121463408546868,-1.1816778386519804,0.4415903268977474,0.015022602069622634,0.9929023053267175
25,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-1.7706694168177932,-0.8727718453144638,0.7288153950447249,0.016542933996066916,0.9927854463551363
26,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-2.003710884586996,-1.2318694373302972,0.5075022226176511,0.013680927890675093,0.9945244442233067
27,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-1.572121800551713,-0.8759587461942211,0.7396459923135168,0.017836313261950367,0.9926625101298601
28,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-1.9919637366707024,-1.1350841246016103,0.5444101997484482,0.01659618947112066,0.993051074878078
29,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-1.818723378278011,-1.0912347069017752,0.6130766246604339,0.015259721573536979,0.9932747407926057
30,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-2.225886438145912,-1.245692925172721,0.4173598311577413,0.016792272552398863,0.9922489285295063
31,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-1.8911754533580334,-1.1813969543407496,0.6255731284452585,0.014873794398965974,0.9937917925440226
32,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-1.104679200445562,0.5468132149452094,1.0274176317752386,0.015311925048239776,0.9956646411471961
33,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-0.7246157787018419,4.387630884893932,1.276445293244046,0.024758024465748638,0.9891350145678736
34,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-1.6341809639914824,-1.1726022123473911,0.6333324081511582,0.01736304934351514,0.9916399179141764
35,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-1.3681357928377997,-0.8420505296047397,0.7957016532692127,0.01447621786807131,0.9944839057215764
36,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-2.3083435770571454,-1.2017512743431311,0.3715640132217904,0.01660582750147413,0.9904367918654123
37,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-2.4194780116859995,-1.1358820338799736,0.3136199196506189,0.01403999008628056,0.9923293525355178
38,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,1,banksstsL,3.0-40.0 Hz,0.5,5,knee,1.0-8.0,0.0,2.0,aperiodic,-2.191599940234433,-1.2255652436446347,0.40247425467383824,0.014096434647705358,0.9933723204338452
