Filename,Folder,Subfolder,Size (Bytes),Creation Date
D2346_rest_postcomp.set,/cblstore/srv/RAWDATA/Grace_Projects/Proj_B4Preterm,B4_Baseline,676280,2024-02-26 12:07:25
D1348_rest_postcomp.set,/cblstore/srv/RAWDATA/Grace_Projects/Proj_B4Preterm,B4_Baseline,684824,2024-02-26 12:07:25
D1111_rest_postcomp.set,/cblstore/srv/RAWDATA/Grace_Projects/Proj_B4Preterm,B4_Baseline,702008,2024-02-26 12:07:25
D0069_rest_postcomp.set,/cblstore/srv/RAWDATA/Grace_Projects/Proj_B4Preterm,B4_Baseline,636256,2024-02-26 12:07:25
D2030_rest_postcomp.set,/cblstore/srv/RAWDATA/Grace_Projects/Proj_B4Preterm,B4_Baseline,719480,2024-02-26 12:07:25
D2795_rest_postcomp.set,/cblstore/srv/RAWDATA/Grace_Projects/Proj_B4Preterm,B4_Baseline,719488,2024-02-26 12:07:25
D3244_rest_postcomp.set,/cblstore/srv/RAWDATA/Grace_Projects/Proj_B4Preterm,B4_Baseline,688512,2024-02-26 12:07:25
D1334_rest_postcomp.set,/cblstore/srv/RAWDATA/Grace_Projects/Proj_B4Preterm,B4_Baseline,623432,2024-02-26 12:07:25
D0835_rest_postcomp.set,/cblstore/srv/RAWDATA/Grace_Projects/Proj_B4Preterm,B4_Baseline,612936,2024-02-26 12:07:25
D2894_rest_postcomp.set,/cblstore/srv/RAWDATA/Grace_Projects/Proj_B4Preterm,B4_Baseline,699504,2024-02-26 12:07:25
D1868_rest_postcomp.set,/cblstore/srv/RAWDATA/Grace_Projects/Proj_B4Preterm,B4_Baseline,643552,2024-02-26 12:07:25
D1917_rest_postcomp.set,/cblstore/srv/RAWDATA/Grace_Projects/Proj_B4Preterm,B4_Baseline,639840,2024-02-26 12:07:25
D3017_rest_babycap_postcomp.set,/cblstore/srv/RAWDATA/Grace_Projects/Proj_B4Preterm,B4_Baseline,687904,2024-02-26 12:07:25
D0402_rest_maskunder_babycap_postcomp.set,/cblstore/srv/RAWDATA/Grace_Projects/Proj_B4Preterm,B4_Baseline,636552,2024-02-26 12:07:25
D1987_rest_postcomp.set,/cblstore/srv/RAWDATA/Grace_Projects/Proj_B4Preterm,B4_Baseline,689872,2024-02-26 12:07:25
D2700_rest_postcomp.set,/cblstore/srv/RAWDATA/Grace_Projects/Proj_B4Preterm,B4_Baseline,675056,2024-02-26 12:07:25
D1239_rest_postcomp.set,/cblstore/srv/RAWDATA/Grace_Projects/Proj_B4Preterm,B4_Baseline,630080,2024-02-26 12:07:25
D82rest_postcomp.set,/cblstore/srv/RAWDATA/Grace_Projects/Mouse_BinderLab/P21,S04_POSTCOMP,242408,2024-02-26 12:07:25
D242rest_postcomp.set,/cblstore/srv/RAWDATA/Grace_Projects/Mouse_BinderLab/P21,S04_POSTCOMP,254224,2024-02-26 12:07:25
D781rest_postcomp.set,/cblstore/srv/RAWDATA/Grace_Projects/Mouse_BinderLab/P21,S04_POSTCOMP,255248,2024-02-26 12:07:25
D590rest_postcomp.set,/cblstore/srv/RAWDATA/Grace_Projects/Mouse_BinderLab/P21,S04_POSTCOMP,240000,2024-02-26 12:07:25
D848rest_postcomp.set,/cblstore/srv/RAWDATA/Grace_Projects/Mouse_BinderLab/P21,S04_POSTCOMP,235288,2024-02-26 12:07:25
D253rest_postcomp.set,/cblstore/srv/RAWDATA/Grace_Projects/Mouse_BinderLab/P21,S04_POSTCOMP,222856,2024-02-26 12:07:25
D582rest_postcomp.set,/cblstore/srv/RAWDATA/Grace_Projects/Mouse_BinderLab/P21,S04_POSTCOMP,228376,2024-02-26 12:07:25
D246rest_postcomp.set,/cblstore/srv/RAWDATA/Grace_Projects/Mouse_BinderLab/P21,S04_POSTCOMP,277552,2024-02-26 12:07:25
D671rest_postcomp.set,/cblstore/srv/RAWDATA/Grace_Projects/Mouse_BinderLab/P21,S04_POSTCOMP,240712,2024-02-26 12:07:25
D105rest_postcomp.set,/cblstore/srv/RAWDATA/Grace_Projects/Mouse_BinderLab/P21,S04_POSTCOMP,194056,2024-02-26 12:07:25
D56rest_postcomp.set,/cblstore/srv/RAWDATA/Grace_Projects/Mouse_BinderLab/P21,S04_POSTCOMP,233808,2024-02-26 12:07:25
D924rest_postcomp.set,/cblstore/srv/RAWDATA/Grace_Projects/Mouse_BinderLab/P21,S04_POSTCOMP,246968,2024-02-26 12:07:25
D277rest_postcomp.set,/cblstore/srv/RAWDATA/Grace_Projects/Mouse_BinderLab/P21,S04_POSTCOMP,224168,2024-02-26 12:07:25
D214rest_postcomp.set,/cblstore/srv/RAWDATA/Grace_Projects/Mouse_BinderLab/P21,S04_POSTCOMP,263320,2024-02-26 12:07:25
D961rest_postcomp.set,/cblstore/srv/RAWDATA/Grace_Projects/Mouse_BinderLab/P21,S04_POSTCOMP,245832,2024-02-26 12:07:25
D11rest_postcomp.set,/cblstore/srv/RAWDATA/Grace_Projects/Mouse_BinderLab/P21,S04_POSTCOMP,218360,2024-02-26 12:07:25
D483rest_postcomp.set,/cblstore/srv/RAWDATA/Grace_Projects/Mouse_BinderLab/P21,S04_POSTCOMP,235288,2024-02-26 12:07:25
D216rest_postcomp.set,/cblstore/srv/RAWDATA/Grace_Projects/Mouse_BinderLab/P21,S04_POSTCOMP,233848,2024-02-26 12:07:25
D989rest_postcomp.set,/cblstore/srv/RAWDATA/Grace_Projects/Mouse_BinderLab/P21,S04_POSTCOMP,219904,2024-02-26 12:07:25
D152rest_postcomp.set,/cblstore/srv/RAWDATA/Grace_Projects/Mouse_BinderLab/P21,S04_POSTCOMP,238760,2024-02-26 12:07:25
D841rest_postcomp.set,/cblstore/srv/RAWDATA/Grace_Projects/Mouse_BinderLab/P21,S04_POSTCOMP,235800,2024-02-26 12:07:25
D836rest_postcomp.set,/cblstore/srv/RAWDATA/Grace_Projects/Mouse_BinderLab/P21,S04_POSTCOMP,239992,2024-02-26 12:07:25
D836rest_preica.set,/cblstore/srv/RAWDATA/Grace_Projects/Mouse_BinderLab/P21,S02_PREICA,140784,2024-02-26 12:07:25
D253rest_preica.set,/cblstore/srv/RAWDATA/Grace_Projects/Mouse_BinderLab/P21,S02_PREICA,131896,2024-02-26 12:07:25
D483rest_preica.set,/cblstore/srv/RAWDATA/Grace_Projects/Mouse_BinderLab/P21,S02_PREICA,138592,2024-02-26 12:07:25
D82rest_preica.set,/cblstore/srv/RAWDATA/Grace_Projects/Mouse_BinderLab/P21,S02_PREICA,142232,2024-02-26 12:07:25
D246rest_preica.set,/cblstore/srv/RAWDATA/Grace_Projects/Mouse_BinderLab/P21,S02_PREICA,163344,2024-02-26 12:07:25
D989rest_preica.set,/cblstore/srv/RAWDATA/Grace_Projects/Mouse_BinderLab/P21,S02_PREICA,130456,2024-02-26 12:07:25
